locs,spores,techs,energy_cap,cases,to_locs,names,colors,inheritance,locs_coordinates_lat,locs_coordinates_lon,to_locs_coordinates_lat,to_locs_coordinates_lon,carrier_in,carrier_out,case_spore,spores_numeric
NO,1,import_elc_interconnector,0.7,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,58.0951126628901,6.621045450274671,,,electricity,electricity,spores_eur_2050_1,1
NO,1,transmission_hvdc:NL_4,0.7,spores_eur_2050,NL_4,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,58.0951126628901,6.621045450274671,53.45675484627952,6.7449528847875175,electricity,electricity,spores_eur_2050_1,1
UK,1,import_elc_interconnector,3.0,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,51.41852859078181,0.8455375006800074,,,electricity,electricity,spores_eur_2050_1,1
UK,1,transmission_hvdc:NL_3,3.0000000000000004,spores_eur_2050,NL_3,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,51.41852859078181,0.8455375006800074,51.52388500203772,3.4380682444702297,electricity,electricity,spores_eur_2050_1,1
BE,2,import_elc_interconnector,3.4,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,51.31726620661365,4.378136579035989,,,electricity,electricity,spores_eur_2050_2,2
BE,2,transmission_hvac:NL_2,2.55,spores_eur_2050,NL_2,Transmission - Electricity HVAC,#795548,power_transmission.transmission,51.31726620661365,4.378136579035989,51.38011179173071,5.075031073065831,electricity,electricity,spores_eur_2050_2,2
DE,2,import_elc_interconnector,6.0,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,52.02040854483887,7.279926060167003,,,electricity,electricity,spores_eur_2050_2,2
DE,2,transmission_hvac:NL_1,3.75,spores_eur_2050,NL_1,Transmission - Electricity HVAC,#795548,power_transmission.transmission,52.02040854483887,7.279926060167003,51.96367578600893,6.807852774557378,electricity,electricity,spores_eur_2050_2,2
DK,2,import_elc_interconnector,0.7,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,55.4325571130993,8.401542890776913,,,electricity,electricity,spores_eur_2050_2,2
DK,2,transmission_hvdc:NL_4,0.6999999999999998,spores_eur_2050,NL_4,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,55.4325571130993,8.401542890776913,53.45675484627952,6.7449528847875175,electricity,electricity,spores_eur_2050_2,2
NL,2,bss_liion,0.0,spores_eur_2050,,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_2,2
NL,2,bss_nas,4.548230434387179,spores_eur_2050,,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_2,2
NL,2,bss_vanadium,0.0,spores_eur_2050,,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_2,2
NL,2,co2_atmosphere,1706.0,spores_eur_2050,,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,,,co2_emitted,co2_emitted,spores_eur_2050_2,2
NL,2,co2_storage,96.0,spores_eur_2050,,CO2 - Capture and storage,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,,,co2_pure,co2_pure,spores_eur_2050_2,2
NL,2,demand_elc,42.0,spores_eur_2050,,Firm demand - Electricity,#ffc107,demand,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_2,2
NL,2,demand_gas,31.0,spores_eur_2050,,Firm demand - Gas,#607d8b,demand,52.0883139998647,5.3291269064473,,,gas,gas,spores_eur_2050_2,2
NL,2,demand_hyd,43.0,spores_eur_2050,,Firm demand - Hydrogen,#3f51b5 ,demand,52.0883139998647,5.3291269064473,,,hydrogen,hydrogen,spores_eur_2050_2,2
NL,2,electrolyser_alk,0.0,spores_eur_2050,,Electrolyser - Alkaline,#3c7632,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_2,2
NL,2,electrolyser_pem,0.0,spores_eur_2050,,Electrolyser - PEM,#7e7a36,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_2,2
NL,2,electrolyser_soe,0.0,spores_eur_2050,,Electrolyser - SOE,#bc7967,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_2,2
NL,2,free_transmission:NL_1,3.6849345959806574,spores_eur_2050,NL_1,Free power transmission,#808080,power_transmission.transmission,52.0883139998647,5.3291269064473,51.96367578600893,6.807852774557378,electricity,electricity,spores_eur_2050_2,2
NL,2,free_transmission:NL_2,2.505755525266847,spores_eur_2050,NL_2,Free power transmission,#808080,power_transmission.transmission,52.0883139998647,5.3291269064473,51.38011179173071,5.075031073065831,electricity,electricity,spores_eur_2050_2,2
NL,2,free_transmission:NL_3,2.9897214784355493,spores_eur_2050,NL_3,Free power transmission,#808080,power_transmission.transmission,52.0883139998647,5.3291269064473,51.52388500203772,3.4380682444702297,electricity,electricity,spores_eur_2050_2,2
