,techs,locs,carriers,spores,total_carrier_con,case,names,colors,inheritance,lat_coords,lon_coords,carrier_in,carrier_out
129,bss_vanadium,NL,electricity,26,-1238.7362344130688,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
130,bss_vanadium,NL,electricity,34,-1418.0359546078141,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
131,bss_vanadium,NL,electricity,32,-916.6910874285916,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
132,bss_vanadium,NL,electricity,24,-1001.9345527781435,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
133,bss_vanadium,NL,electricity,6,-2078.49930166695,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
134,bss_vanadium,NL,electricity,35,-1131.4213568237587,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
135,bss_vanadium,NL,electricity,36,-843.3682941811525,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
136,bss_vanadium,NL,electricity,23,-1755.2651843011106,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
137,bss_vanadium,NL,electricity,27,-917.7640943348463,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
138,bss_vanadium,NL,electricity,31,-931.733478226445,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
139,bss_vanadium,NL,electricity,37,-766.0997749237023,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
140,bss_vanadium,NL,electricity,30,-1708.9616894080946,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
141,bss_vanadium,NL,electricity,33,-711.5298973126953,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
142,bss_vanadium,NL,electricity,38,-1093.53854677774,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
143,bss_vanadium,NL,electricity,10,-2717.5303142250987,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
144,bss_vanadium,NL,electricity,9,-17.295747674862422,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
145,bss_vanadium,NL,electricity,39,-1029.626765305335,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
